"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","Arduino_MEGA","","","","1_Josh_lib:Arduino_MEGA","https://www.arduino.cc/en/Main/arduinoBoardUno"
"C1,C2,C3,C4,C5,C6","6","0.1","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C7,C9","2","220uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C8,C10","2","10uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"J1,J2","2","~","","","","1_Josh_lib:AudioJack",""
"JP1","1","~","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"R1,R5","2","10K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R2","1","10M","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R3,R4","2","1M","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R6","1","1K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R7","1","10","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"RV1","1","500","","","","Potentiometer_THT:Potentiometer_Vishay_T73YP_Vertical","~"
"RV2","1","10K","","","","Potentiometer_THT:Potentiometer_Vishay_T73YP_Vertical","~"
"SW1","1","NO","","","","Button_Switch_THT:SW_Tactile_Straight_KSL0Axx1LFTR","~"
"SW2","1","YES","","","","Button_Switch_THT:SW_Tactile_Straight_KSL0Axx1LFTR","~"
"SW3","1","DOWN","","","","Button_Switch_THT:SW_Tactile_Straight_KSL0Axx1LFTR","~"
"SW4","1","UP","","","","Button_Switch_THT:SW_Tactile_Straight_KSL0Axx1LFTR","~"
"SW5","1","RESET","","","","Button_Switch_THT:SW_Tactile_Straight_KSL0Axx1LFTR","~"
"U1","1","LM358","","","","Package_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf"
"U2","1","LM386","","","","Package_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/lm386.pdf"
"U3","1","23LC512","","","","Package_DIP:DIP-8_W7.62mm_LongPads","http://ww1.microchip.com/downloads/en/DeviceDoc/21754M.pdf"
"U4","1","2S4E 0512S1U","","","","Converter_DCDC:Converter_DCDC_TRACO_TEA1-xxxx_THT",""
